Operator Name,Certificate #,State,FAA Office,Phone,Email,Contacted,Notes
Suburban Air Express Inc.,XS8A,Alaska,AL01 - Fairbanks (FAI),,,No,
"Sunrise Aviation, Inc",SVVA,Alaska,AL05 - Juneau (JNU),,,No,
Swift River Air LLC,LFKA,Alaska,AL03 - Anchorage  (ANC),,,No,
TALKEETNA AIR TAXI INC,TL7C,Alaska,AL03 - Anchorage  (ANC),,,No,
TIKCHIK NARROWS LODGE INC.,T52C,Alaska,AL03 - Anchorage  (ANC),,,No,
TRUE NORTH AIR LLC,8TNC,Alaska,AL03 - Anchorage  (ANC),,,No,
TRYGG AIR ALASKA LLC,9CKC,Alaska,AL03 - Anchorage  (ANC),,,No,
TUCKER AVIATION INC,TKAC,Alaska,AL03 - Anchorage  (ANC),,,No,
TUNDRA LTD,5TQA,Alaska,AL01 - Fairbanks (FAI),,,No,
"Talkeetna Aero Services, Inc.",T04A,Alaska,AL03 - Anchorage  (ANC),,,No,
"Talon Air Service, Inc",ITDC,Alaska,AL05 - Juneau (JNU),,,No,
"Tatonduk Outfitters, Ltd.",FXGA,Alaska,AL07 - Denali  CMO,,,No,
"Tazimina Air, LLC",J03C,Alaska,AL03 - Anchorage  (ANC),,,No,
"Temsco Helicopters, Inc",HXSA,Alaska,AL05 - Juneau (JNU),,,No,
Tikchik Airventures LLC,B8BC,Alaska,AL03 - Anchorage  (ANC),,,No,
"Toby, LLC",J0FA,Alaska,AL05 - Juneau (JNU),,,No,
"Tok Air Service, LLC",Z8KC,Alaska,AL01 - Fairbanks (FAI),,,No,
"Trail Ridge Air, Inc",YGOA,Alaska,AL03 - Anchorage  (ANC),,,No,
TransNorthern LLC,TN8A,Alaska,AL03 - Anchorage  (ANC),,,No,
Trinity Air INC,91TA,Alaska,AL01 - Fairbanks (FAI),,,No,
ULTIMA THULE AIR LLC,XUOA,Alaska,AL03 - Anchorage  (ANC),,,No,
URSUS AIR LLC,3URC,Alaska,AL03 - Anchorage  (ANC),,,No,
"V2 Aviation, LLC",1V2C,Alaska,AL05 - Juneau (JNU),,,No,
VALLEY AVIATION LLC,4VLA,Alaska,AL03 - Anchorage  (ANC),,,No,
"VANDERPOOL, SR., ROBERT W",V5PC,Alaska,AL03 - Anchorage  (ANC),,,No,
"VANDEVENTER, MATTHEW S",V9VC,Alaska,AL03 - Anchorage  (ANC),,,No,
VERTICAL SOLUTIONS LLC,3VSA,Alaska,AL03 - Anchorage  (ANC),,,No,
VIKING AIR LLC,3VKC,Alaska,AL03 - Anchorage  (ANC),,,No,
"Valkenburg, Patrick",W68C,Alaska,AL01 - Fairbanks (FAI),,,No,
